slug,marque,name,year,era,category,description,specs.engine,specs.power,specs.topSpeed,specs.weight,provenance,featured
bugatti-type-57sc-atlantic,bugatti,Type 57SC Atlantic,1936,golden-age,Grand Tourer,"Art Deco design masterpiece by Jean Bugatti. Only 4 built; one of the most valuable cars in history with auction values exceeding $40 million. The riveted dorsal seam, teardrop body, and supercharged inline-8 represent the pinnacle of pre-war automotive artistry.",3.3L Supercharged Inline-8,200 hp,135 mph,950 kg,Only 4 produced (1936–1938). Chassis #57374 sold for $30M+ in 2010; Chassis #57591 owned by Ralph Lauren. Won Pebble Beach Best of Show in 1990 and 2003.,True
bugatti-veyron-16-4,bugatti,Veyron 16.4,2005,modern-classic,Sports,"The car that reignited the top-speed war. The Veyron's quad-turbocharged W16 engine was an unprecedented engineering achievement, combining 1,001 hp with luxury grand touring capability. It was the first production car to exceed 250 mph and launched the modern hypercar era under Volkswagen Group ownership.",8.0L Quad-Turbo W16,"1,001 hp",253 mph,"1,888 kg",450 units produced (2005–2015). Developed under VW Group at a reported loss of €6M per unit. Super Sport variant set 267.8 mph record in 2010.,True
ferrari-250-gto,ferrari,250 GTO,1962,golden-age,Racing,"The 'Holy Grail' of collector cars. Built for FIA Group 3 GT racing homologation, the 250 GTO combined a Colombo-designed 3.0L V12 with Scaglietti's aerodynamic bodywork. Only 36 were produced, each requiring personal approval from Enzo Ferrari. It dominated international GT racing from 1962 to 1964.",3.0L Colombo V12,296 hp,174 mph,880 kg,"Only 36 built. A 1963 example (chassis 4153GT) sold privately for $70M in 2018, making it the most expensive car ever sold. Buyers needed Enzo Ferrari's personal approval.",True
ferrari-f40,ferrari,F40,1987,muscle-era,Sports,"The last car personally approved by Enzo Ferrari before his death in 1988, built to celebrate the company's 40th anniversary. The F40 was the first production car to break the 200 mph barrier. Its stripped-out, no-nonsense approach — carbon/Kevlar body, no ABS, no power steering — made it the purest supercar of its generation.",2.9L Twin-Turbo V8,471 hp,201 mph,"1,100 kg","1,315 produced (1987–1992). Originally planned at 400 units; demand forced increased production. During the late-1980s supercar boom, examples traded at 3× list price.",True
lamborghini-miura,lamborghini,Miura,1966,golden-age,Sports,"Widely regarded as the world's first true supercar. Conceived by a trio of young engineers (Dallara, Stanzani, Wallace) and styled by Marcello Gandini at Bertone, the Miura placed a transverse V12 behind the driver — a layout that became the supercar standard. It redefined automotive performance and beauty overnight.",3.9L Transverse V12,350 hp,174 mph,980 kg,"Approximately 764 produced across P400, S, and SV variants (1966–1973). Featured in the opening sequence of 'The Italian Job' (1969). SV examples regularly exceed $3M at auction.",True
lamborghini-countach,lamborghini,Countach,1974,muscle-era,Sports,"The ultimate poster car. Marcello Gandini's wedge-shaped design with scissor doors became the defining image of 1980s supercar culture. The Countach evolved through LP400, LP400S, LP500S, 5000QV, and 25th Anniversary editions over a 16-year production run, each iteration adding more drama and power.",3.9–5.2L V12,375–455 hp,183 mph,"1,490 kg","Approximately 2,049 produced (1974–1990). The LP400 'Periscopio' is the most collectible. Young Horacio Pagani worked on the 25th Anniversary edition's body strakes before founding his own company.",True
porsche-911,porsche,911,1964,golden-age,Sports,"The most iconic sports car in history. Debuted at the 1963 Frankfurt Motor Show as the successor to the 356, the 911's rear-engine flat-six layout has endured through continuous evolution for over 60 years and eight generations (from the original to today's 992). No other car combines daily usability, motorsport pedigree, and design continuity so perfectly.",2.0L Air-Cooled Flat-6 (original),130 hp (original),131 mph (original),"1,080 kg (original)","Continuous production since 1964. Originally named 901, renamed 911 after Peugeot trademark dispute. Over 1 million 911s have been produced. The air-cooled 993 generation (1994–1998) is the most collectible.",True
porsche-918-spyder,porsche,918 Spyder,2013,modern-classic,Sports,"Porsche's first hybrid hypercar, one of the 'Holy Trinity' alongside the LaFerrari and McLaren P1. The 918 proved that electrification could enhance rather than diminish the supercar experience. It was the first street-legal car to break the 7-minute barrier at the Nürburgring Nordschleife with a 6:57 lap time.",4.6L NA V8 + 2 Electric Motors,875 hp (combined),214 mph,"1,674 kg","918 units produced (2013–2015), a number chosen to match the model name. Originally priced at $845,000. Set multiple production car lap records including the Nürburgring 6:57.",True
mercedes-benz-300-sl-gullwing,mercedes-benz,300 SL Gullwing,1954,golden-age,Grand Tourer,"A road car born directly from Mercedes-Benz's dominant W194 race car. The 300 SL was the world's first production car with mechanical fuel injection, giving it a significant power advantage. Its iconic gullwing doors were an engineering necessity — the tubular space frame chassis made conventional doors impossible.",3.0L Fuel-Injected Inline-6,215 hp,161 mph,"1,295 kg","1,400 Gullwing coupes built (1954–1957), followed by 1,858 Roadsters (1957–1963). First production car with fuel injection. Prices now range from $1M–$2M+ depending on condition.",True
mercedes-benz-s-class-w126,mercedes-benz,S-Class (W126),1979,muscle-era,Grand Tourer,"The W126 S-Class defined what 'the best car in the world' meant for an entire generation. It debuted the driver-side airbag (1981) and standard ABS, pioneering safety technologies now universal across all cars. Its build quality was legendary — many examples have exceeded 1 million kilometers.",Various (2.8L I6 to 5.6L V8),156–300 hp,155 mph (limited),"1,600–1,800 kg","Over 818,000 produced (1979–1991), the best-selling S-Class generation. Introduced the first production driver airbag in 1981. The 560 SEL remains the most sought-after variant.",False
